Date,DAX,SP500
20211201,15263,4513
20211130,15472,4567
20211129,15100,4655
20211126,15280,4594
20211124,15257,4701
20211123,15917,4690
20211122,15878,4682
20211119,15937,4697
20211118,16115,4704
20211117,16159,4688
20211116,16221,4700
20211115,16251,4682
20211112,16247,4682
20211111,16148,4649
20211110,16094,4646
20211109,16083,4685
20211108,16067,4701
20211105,16040,4697
20211104,16046,4680
20211103,16054,4660
20211102,16029,4630
20211101,15959,4613
20211029,15954,4605
20211028,15806,4596
20211027,15688,4551
20211026,15696,4574
20211025,15705,4566
20211022,15757,4544
20211021,15599,4549
20211020,15542,4536
20211019,15472,4519
20211018,15522,4486
20211015,15515,4471
20211014,15474,4438
20211013,15587,4363
20211012,15462,4350
20211011,15249,4361
20211008,15146,4391
20211007,15199,4399
20211006,15206,4363
20211005,15250,4345
20211004,14973,4300
20211001,15194,4357
20210930,15036,4307
20210929,15156,4359
20210928,15260,4352
20210927,15365,4443
20210924,15248,4455
20210923,15573,4448
20210922,15531,4395
20210921,15643,4354
20210920,15506,4357
20210917,15348,4432
20210916,15132,4473
20210915,15490,4480
20210914,15651,4443
20210913,15616,4468
20210910,15722,4458
20210909,15701,4493
20210908,15609,4514
20210907,15623,4520
20210903,15610,4535
20210902,15843,4536
20210901,15932,4524
20210831,15781,4522
20210830,15840,4528
20210827,15824,4509
20210826,15835,4470
20210825,15887,4496
20210824,15851,4486
20210823,15793,4479
20210820,15860,4441
20210819,15905,4405
20210818,15852,4400
20210817,15808,4448
20210816,15765,4479
20210813,15965,4468
20210812,15921,4460
20210811,15925,4442
20210810,15977,4436
20210809,15937,4432
20210806,15826,4436
20210805,15770,4429
20210804,15745,4402
20210803,15761,4423
20210802,15744,4387
20210730,15692,4395
20210729,15555,4419
20210728,15568,4400
20210727,15544,4401
20210726,15640,4422
20210723,15570,4411
20210722,15519,4367
20210721,15618,4358
20210720,15669,4323
20210719,15514,4258
20210716,15422,4327
20210715,15216,4360
20210714,15133,4374
20210713,15540,4369
20210712,15629,4384
20210709,15788,4369
20210708,15789,4320
20210707,15790,4358
20210706,15687,4343
20210702,15420,4352
20210701,15692,4319
20210630,15511,4297
20210629,15661,4291
20210628,15650,4290
20210625,15603,4280
20210624,15531,4266
20210623,15690,4241
20210622,15554,4246
20210621,15607,4224
20210618,15589,4166
20210617,15456,4221
20210616,15636,4223
20210615,15603,4246
20210614,15448,4255
20210611,15727,4247
20210610,15710,4239
20210609,15729,4219
20210608,15673,4227
20210607,15693,4226
20210604,15571,4229
20210603,15581,4192
20210602,15640,4208
20210601,15677,4202
20210528,15692,4204
20210527,15632,4200
20210526,15602,4195
20210525,15567,4188
20210524,15421,4197
20210521,15519,4155
20210520,15406,4159
20210519,15450,4115
20210518,15465,4127
20210517,15437,4163
20210514,15370,4173
20210513,15113,4112
20210512,15386,4063
20210511,15396,4152
20210510,15416,4188
20210507,15199,4232
20210506,15150,4201
20210505,15119,4167
20210504,15400,4164
20210503,15399,4192
20210430,15196,4181
20210429,15170,4211
20210428,14856,4183
20210427,15236,4186
20210426,15135,4187
20210423,15154,4180
20210422,15292,4134
20210421,15249,4173
20210420,15296,4134
20210419,15279,4163
20210416,15320,4185
20210415,15195,4170
20210414,15129,4124
20210413,15368,4141
20210412,15459,4127
20210409,15255,4128
20210408,15209,4097
20210407,15234,4079
20210406,15215,4073
20210405,15234,4077
20210401,15202,4019
20210331,15176,3972
20210330,15212,3958
20210329,15107,3971
20210326,15008,3974
20210325,15008,3909
20210324,14817,3889
20210323,14748,3910
20210322,14621,3940
20210319,14610,3913
20210318,14662,3915
20210317,14657,3974
20210316,14621,3962
20210315,14775,3968
20210312,14596,3943
20210311,14557,3939
20210310,14461,3898
20210309,14502,3875
20210308,14569,3821
20210305,14540,3841
20210304,14437,3768
20210303,14380,3819
20210302,13920,3870
20210301,14056,3901
20210226,14080,3811
20210225,14039,3829
20210224,14012,3925
20210223,13786,3881
20210222,13879,3876
20210219,13976,3906
20210218,13864,3913
20210217,13950,3931
20210216,13993,3932
20210212,13886,3934
20210211,13909,3916
20210210,14064,3909
20210209,14109,3911
20210208,14049,3915
20210205,14040,3886
20210204,13932,3871
20210203,14011,3830
20210202,14059,3826
20210201,14056,3773
20210129,14060,3714
20210128,13933,3787
20210127,13835,3750
20210126,13622,3849
20210125,13432,3855
20210122,13665,3841
20210121,13620,3853
20210120,13870,3851
20210119,13643,3798
20210115,13873,3768
20210114,13906,3795
20210113,13921,3809
20210112,13815,3801
20210111,13848,3799
20210108,13787,3824
20210107,13988,3803
20210106,13939,3748
20210105,13925,3726
20210104,13936,3700
20201231,14049,3756
20201230,13968,3732
20201229,13891,3727
20201228,13651,3735
20201224,13726,3703
20201223,13718,3690
20201222,13761,3687
20201221,13790,3694
20201218,13587,3709
20201217,13418,3722
20201216,13246,3701
20201215,13630,3694
20201214,13667,3647
20201211,13565,3663
20201210,13362,3668
20201209,13223,3672
20201208,13114,3702
20201207,13295,3691
20201204,13340,3699
20201203,13278,3666
20201202,13271,3669
20201202,13271,3669
20201202,13271,3669
20201202,13271,3669
20201202,13271,3669
